ranks,t_10,t_100,t_1000,t_10000
1,"('MountUnion', '0.018')","('MountUnion', '0.066')","('Alabama', '0.042')","('Alabama', '0.051')"
2,"('MaryHardin-Baylor', '0.013')","('Alabama', '0.023')","('Georgia', '0.035')","('Georgia', '0.042')"
3,"('StFrancisIN', '0.011')","('Georgia', '0.019')","('MountUnion', '0.034')","('OhioState', '0.034')"
4,"('UW-Oshkosh', '0.010')","('UW-Oshkosh', '0.018')","('OhioState', '0.028')","('Clemson', '0.032')"
5,"('TAMU-Commerce', '0.009')","('OhioState', '0.015')","('Clemson', '0.027')","('Oklahoma', '0.032')"
6,"('BrockportSt', '0.009')","('Clemson', '0.015')","('Oklahoma', '0.026')","('Wisconsin', '0.031')"
7,"('NorthDakotaSt', '0.009')","('Oklahoma', '0.014')","('Wisconsin', '0.026')","('CentralFlorida', '0.029')"
8,"('Alabama', '0.009')","('Wisconsin', '0.014')","('CentralFlorida', '0.024')","('Auburn', '0.027')"
9,"('Morningside', '0.009')","('CentralFlorida', '0.013')","('Auburn', '0.022')","('PennState', '0.024')"
10,"('Georgia', '0.008')","('MaryHardin-Baylor', '0.013')","('PennState', '0.020')","('NotreDame', '0.018')"
11,"('JamesMadison', '0.008')","('TAMU-Commerce', '0.012')","('NotreDame', '0.015')","('TCU', '0.017')"
12,"('DelawareValley', '0.008')","('Auburn', '0.012')","('TCU', '0.014')","('MiamiFL', '0.014')"
13,"('Wartburg', '0.008')","('StFrancisIN', '0.011')","('MiamiFL', '0.012')","('MichiganSt', '0.014')"
14,"('IndianaPA', '0.007')","('PennState', '0.011')","('MichiganSt', '0.012')","('OklahomaSt', '0.014')"
15,"('Clemson', '0.007')","('BrockportSt', '0.009')","('OklahomaSt', '0.011')","('Iowa', '0.013')"
16,"('MinnSt-Mankato', '0.007')","('NotreDame', '0.008')","('Iowa', '0.011')","('Northwestern', '0.013')"
17,"('CentralFlorida', '0.007')","('DelawareValley', '0.008')","('Northwestern', '0.010')","('IowaSt', '0.012')"
18,"('OhioState', '0.007')","('NorthDakotaSt', '0.008')","('IowaSt', '0.010')","('LSU', '0.012')"
19,"('Wisconsin', '0.007')","('FrostburgSt', '0.008')","('LSU', '0.010')","('SouthernCal', '0.011')"
20,"('Reinhardt', '0.007')","('TCU', '0.008')","('NorthDakotaSt', '0.009')","('Washington', '0.011')"
21,"('StThomas', '0.006')","('MinnSt-Mankato', '0.008')","('SouthernCal', '0.009')","('NorthDakotaSt', '0.011')"
22,"('Oklahoma', '0.006')","('CaseWesternReserve', '0.007')","('Washington', '0.009')","('Stanford', '0.011')"
23,"('FrostburgSt', '0.006')","('JohnCarroll', '0.007')","('UW-Oshkosh', '0.009')","('MississippiSt', '0.010')"
24,"('Ashland', '0.005')","('MiamiFL', '0.007')","('Stanford', '0.009')","('VirginiaTech', '0.010')"
25,"('Assumption', '0.005')","('Harding', '0.006')","('MississippiSt', '0.009')","('NorthCarolinaSt', '0.010')"
